shift,end_timestamp,living,arose_this_shift,ended_this_shift,replicated_this_shift,links_formed,classified,anomalous,unresolved,resource_flow,phase,model,duration_seconds,estimated_cost_usd,cumulative_cost_usd,new_categories
0,2026-08-17T05:37:49Z,,,,,,4,0,0,0.6,claude,claude-haiku-4-5,18.8,0.009508,0.009508,structural_notation_system narrative_scene_threshold narrative_scene_interior_moment
1,2026-08-17T05:43:12Z,,,,,,4,1,0,0.775,claude,claude-haiku-4-5,25.3,0.013431,0.022939,
2,2026-08-17T05:43:37Z,,,,,,3,1,0,0.9031,claude,claude-haiku-4-5,20.5,0.013044,0.035983,
3,2026-08-17T05:43:45Z,,,,,,2,0,1,0.95,ollama,gemma3:4b,903.5,0.0,0.0,Computational Structures - Nested Iterations
3,2026-08-17T05:44:06Z,,,,,,3,1,0,0.95,claude,claude-haiku-4-5,24.8,0.014807,0.05079,
4,2026-08-17T05:44:35Z,,,,,,3,1,0,0.9031,claude,claude-haiku-4-5,25.2,0.015274,0.066064,
5,2026-08-17T05:45:18Z,,,,,,4,1,0,0.775,claude,claude-haiku-4-5,38.8,0.015195,0.081259,
6,2026-08-17T05:46:09Z,,,,,,4,1,0,0.6,claude,claude-haiku-4-5,47.3,0.014674,0.095933,
7,2026-08-17T05:46:46Z,,,,,,4,0,0,0.425,claude,claude-haiku-4-5,33.2,0.019333,0.115266,
8,2026-08-17T05:47:15Z,,,,,,4,1,0,0.2969,claude,claude-haiku-4-5,25.3,0.014513,0.129779,
9,2026-08-17T05:47:49Z,,,,,,4,0,0,0.25,claude,claude-haiku-4-5,29.4,0.014175,0.143954,narrative_scene_anticipatory_threshold
10,2026-08-17T05:48:28Z,,,,,,4,1,0,0.2969,claude,claude-haiku-4-5,35.6,0.014259,0.158213,
11,2026-08-17T05:48:59Z,,,,,,4,0,0,0.425,claude,claude-haiku-4-5,26.2,0.014589,0.172802,
12,2026-08-17T05:49:31Z,,,,,,4,0,0,0.6,claude,claude-haiku-4-5,28.1,0.014807,0.187609,
13,2026-08-17T05:50:11Z,,,,,,4,0,0,0.775,claude,claude-haiku-4-5,35.8,0.015114,0.202723,
14,2026-08-17T05:50:46Z,,,,,,3,1,0,0.9031,claude,claude-haiku-4-5,31.3,0.019355,0.222078,
15,2026-08-17T05:52:38Z,,,,,,3,0,0,0.95,claude,claude-haiku-4-5,24.9,0.01547,0.237548,
16,2026-08-17T06:18:15Z,,,,,,3,0,0,0.9031,claude,claude-haiku-4-5,25.6,0.015339,0.252887,
17,2026-08-17T06:19:06Z,,,,,,4,0,0,0.775,claude,claude-haiku-4-5,24.8,0.015418,0.268305,
18,2026-08-17T06:23:52Z,,,,,,4,0,0,0.6,claude,claude-haiku-4-5,24.9,0.015251,0.283556,
19,2026-08-17T06:24:20Z,,,,,,4,0,0,0.425,claude,claude-haiku-4-5,25.9,0.014597,0.298153,
20,2026-08-17T06:24:58Z,,,,,,4,0,0,0.2969,claude,claude-haiku-4-5,34.2,0.014492,0.312645,
21,2026-08-17T06:25:33Z,,,,,,4,0,0,0.25,claude,claude-haiku-4-5,32.1,0.018295,0.33094,
22,2026-08-17T06:26:00Z,,,,,,4,0,0,0.2969,claude,claude-haiku-4-5,24.4,0.014429,0.345369,
23,2026-08-17T13:39:26Z,,,,,,4,0,0,0.425,claude,claude-haiku-4-5,26002.6,0.014736,0.360105,
24,2026-08-17T13:39:56Z,,,,,,4,0,0,0.6,claude,claude-haiku-4-5,26.3,0.015128,0.375233,
25,2026-08-17T13:40:25Z,,,,,,4,0,0,0.775,claude,claude-haiku-4-5,25.9,0.015301,0.390534,
