id,state,generation,parent_id,arose_at_shift,age,descendants,light,extent,junctions,mass,cover,residue,links,category
i-26163,living,0,None,109,40,11,0.7212843427775186,1.292,1.063,1.201,1.1705,1.0549,0.7746,mobile_exchanger
i-33323,living,1,i-26163,119,30,1,4.551830037155261,1.282,1.305,0.66,1.1967,1.2253,0.578,
i-42156,living,1,i-26163,127,22,5,3.9613591367968675,1.177,0.636,1.73,1.2665,1.0745,0.6591,
i-58092,ended,1,i-26163,146,3,0,-1.476073061401199,1.732,1.24,1.519,1.2831,1.0797,0.6372,
i-60269,living,1,i-26163,147,2,0,1.5599510235738294,1.156,1.506,0.655,1.0823,0.7914,1.1263,
i-43592,living,2,i-33323,132,17,0,2.6070785262489746,1.439,1.095,0.25,1.4834,0.8938,0.6228,
i-56370,living,2,i-42156,145,4,1,2.7220027180233384,1.466,0.54,1.218,0.9962,1.2196,0.7842,
i-60313,living,2,i-42156,147,2,0,0.4759477294820451,1.411,1.039,1.951,1.4139,1.047,0.5391,
i-64797,living,2,i-42156,149,0,0,3.169087309437494,1.28,0.362,1.583,1.1811,0.8305,0.9884,
i-60779,living,3,i-56370,147,2,0,1.4611614191650057,1.292,0.793,1.487,1.1646,1.1027,0.7328,
